Регион,Период,Срез,Категория,Пол,Значение
г. Севастополь,2014,по возрасту,14-15,m,5
г. Севастополь,2014,по возрасту,16-17,m,26
г. Севастополь,2014,по возрасту,18-24,m,114
г. Севастополь,2014,по возрасту,25-29,m,161
г. Севастополь,2014,по возрасту,30-49,m,428
г. Севастополь,2014,по возрасту,50 +,m,53
г. Севастополь,2014,по возрасту,14-15,f,0
г. Севастополь,2014,по возрасту,16-17,f,1
г. Севастополь,2014,по возрасту,18-24,f,10
г. Севастополь,2014,по возрасту,25-29,f,17
г. Севастополь,2014,по возрасту,30-49,f,42
г. Севастополь,2014,по возрасту,50 +,f,14
г. Севастополь,2014,по образованию,высшее профессиональное,m,103
г. Севастополь,2014,по образованию,среднее профессиональное,m,220
г. Севастополь,2014,по образованию,среднее (полное) общее,m,107
г. Севастополь,2014,по образованию,начальное и основное общее,m,342
г. Севастополь,2014,по образованию,высшее профессиональное,f,22
г. Севастополь,2014,по образованию,среднее профессиональное,f,20
г. Севастополь,2014,по образованию,среднее (полное) общее,f,9
г. Севастополь,2014,по образованию,начальное и основное общее,f,30
г. Севастополь,2014,по образованию,высшее профессиональное,m,103
г. Севастополь,2014,по образованию,среднее профессиональное,m,220
г. Севастополь,2014,по образованию,среднее (полное) общее,m,107
г. Севастополь,2014,по образованию,начальное и основное общее,m,342
г. Севастополь,2014,по образованию,высшее профессиональное,f,22
г. Севастополь,2014,по образованию,среднее профессиональное,f,20
г. Севастополь,2014,по образованию,среднее (полное) общее,f,9
г. Севастополь,2014,по образованию,начальное и основное общее,f,30
г. Севастополь,2014,по социальному составу,наемных работников,m,121
г. Севастополь,2014,по социальному составу,служащих,m,6
г. Севастополь,2014,по социальному составу,работников сельского хозяйства,m,0
г. Севастополь,2014,по социальному составу,предпринимателей без образования юридического лица,m,8
г. Севастополь,2014,по социальному составу,работников органов государственной власти,m,6
г. Севастополь,2014,по социальному составу,учащихся и студентов,m,26
г. Севастополь,2014,по социальному составу,лиц без постоянных источников доходов,m,600
г. Севастополь,2014,по социальному составу,в том числе безработных,m,94
г. Севастополь,2014,по социальному составу,мигрантов,m,2
г. Севастополь,2014,по социальному составу,наемных работников,f,9
г. Севастополь,2014,по социальному составу,служащих,f,6
г. Севастополь,2014,по социальному составу,работников сельского хозяйства,f,0
г. Севастополь,2014,по социальному составу,предпринимателей без образования юридического лица,f,1
г. Севастополь,2014,по социальному составу,работников органов государственной власти,f,0
г. Севастополь,2014,по социальному составу,учащихся и студентов,f,2
г. Севастополь,2014,по социальному составу,лиц без постоянных источников доходов,f,57
г. Севастополь,2014,по социальному составу,в том числе безработных,f,5
г. Севастополь,2014,по социальному составу,мигрантов,f,0
г. Севастополь,2014,по принадлежности к гражданству,граждане России,m,677
г. Севастополь,2014,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,110
г. Севастополь,2014,по принадлежности к гражданству,граждане России,f,71
г. Севастополь,2014,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,13
Республика Крым,2014,по возрасту,14-15,m,69
Республика Крым,2014,по возрасту,16-17,m,157
Республика Крым,2014,по возрасту,18-24,m,836
Республика Крым,2014,по возрасту,25-29,m,757
Республика Крым,2014,по возрасту,30-49,m,2041
Республика Крым,2014,по возрасту,50 +,m,482
Республика Крым,2014,по возрасту,14-15,f,7
Республика Крым,2014,по возрасту,16-17,f,13
Республика Крым,2014,по возрасту,18-24,f,75
Республика Крым,2014,по возрасту,25-29,f,72
Республика Крым,2014,по возрасту,30-49,f,317
Республика Крым,2014,по возрасту,50 +,f,94
Республика Крым,2014,по образованию,высшее профессиональное,m,303
Республика Крым,2014,по образованию,среднее профессиональное,m,817
Республика Крым,2014,по образованию,среднее (полное) общее,m,631
Республика Крым,2014,по образованию,начальное и основное общее,m,2455
Республика Крым,2014,по образованию,высшее профессиональное,f,64
Республика Крым,2014,по образованию,среднее профессиональное,f,138
Республика Крым,2014,по образованию,среднее (полное) общее,f,64
Республика Крым,2014,по образованию,начальное и основное общее,f,292
Республика Крым,2014,по социальному составу,наемных работников,m,350
Республика Крым,2014,по социальному составу,служащих,m,31
Республика Крым,2014,по социальному составу,работников сельского хозяйства,m,2
Республика Крым,2014,по социальному составу,предпринимателей без образования юридического лица,m,22
Республика Крым,2014,по социальному составу,работников органов государственной власти,m,15
Республика Крым,2014,по социальному составу,учащихся и студентов,m,205
Республика Крым,2014,по социальному составу,лиц без постоянных источников доходов,m,3567
Республика Крым,2014,по социальному составу,в том числе безработных,m,384
Республика Крым,2014,по социальному составу,мигрантов,m,57
Республика Крым,2014,по социальному составу,наемных работников,f,80
Республика Крым,2014,по социальному составу,служащих,f,13
Республика Крым,2014,по социальному составу,работников сельского хозяйства,f,2
Республика Крым,2014,по социальному составу,предпринимателей без образования юридического лица,f,4
Республика Крым,2014,по социальному составу,работников органов государственной власти,f,0
Республика Крым,2014,по социальному составу,учащихся и студентов,f,21
Республика Крым,2014,по социальному составу,лиц без постоянных источников доходов,f,411
Республика Крым,2014,по социальному составу,в том числе безработных,f,48
Республика Крым,2014,по социальному составу,мигрантов,f,5
Республика Крым,2014,по принадлежности к гражданству,граждане России,m,3810
Республика Крым,2014,по принадлежности к гражданству,граждане других государств или лица без гражданства,m,530
Республика Крым,2014,по принадлежности к гражданству,граждане России,f,505
Республика Крым,2014,по принадлежности к гражданству,граждане других государств или лица без гражданства,f,73
Ненецкий АО,2014,по возрасту,14-15,m,11
Ненецкий АО,2014,по возрасту,16-17,m,18
